emp_no,first_name,last_name,hire_date,birth_date
10327,Roded,Facello,1987-09-18,1954-04-01
10340,Djelloul,Laventhal,1987-06-05,1952-08-20
10347,Pradeep,Kaminger,1985-12-12,1953-10-03
10355,Satyanarayana,Cochrane,1987-11-15,1952-12-10
10356,Vasilis,Standera,1988-08-06,1952-08-12
10363,Toshiki,Muniz,1985-09-11,1953-11-28
10364,Nakhoon,Dengi,1985-11-14,1954-09-21
10372,Anneli,Frijda,1985-07-30,1952-04-08
10387,Parto,Wrigley,1987-02-19,1952-11-03
10395,Takahiro,Deverell,1987-02-04,1952-02-17
10396,Sibyl,Rahier,1986-01-11,1955-08-21
10402,Volkmar,Ebeling,1987-01-02,1953-07-23
10404,Prodip,Rosti,1988-08-28,1955-04-27
10426,Arunas,Luce,1985-07-06,1955-12-28
10429,Martien,Improta,1986-03-09,1952-02-13
10432,Hisao,Tiemann,1985-04-30,1953-11-06
10442,Volkmar,Unno,1988-03-13,1955-09-09
10451,Bodh,Ranta,1988-03-12,1952-10-06
10453,Tsvetan,Matzel,1985-04-02,1953-07-19
10463,Ung,Zaiane,1987-12-25,1954-05-20
10466,Jiakeng,Himler,1985-09-29,1954-12-25
10486,Amstein,Kossowski,1987-10-08,1952-08-24
10494,Yakkov,Servieres,1986-01-18,1953-12-21
10504,Xiong,Varker,1988-12-03,1953-04-07
10512,Udi,Gihr,1986-01-12,1955-11-16
10519,Yonghoan,Alencar,1986-03-22,1955-12-28
10522,Marke,Cesareni,1986-12-12,1955-07-24
10538,Przemyslawa,Falby,1987-07-23,1955-08-18
10541,Godehard,Eiter,1986-02-28,1955-11-05
10548,Ramalingam,Gunderson,1986-05-04,1952-06-12
10564,Jianhao,Thisen,1986-05-08,1955-04-14
10575,Theirry,Yeung,1988-10-04,1954-06-29
10591,Hidde,Hettesheimer,1987-06-18,1952-12-22
10608,Adhemar,Talmor,1986-05-25,1955-07-11
10617,Hidekazu,Angel,1985-03-29,1955-01-26
10623,Aleksander,Danlos,1987-03-07,1953-07-11
10628,Krisda,Krogh,1985-09-11,1954-04-18
10629,Lalit,Francisci,1986-01-30,1954-03-23
10631,Inderjeet,Chaudhuri,1988-02-16,1955-05-17
10642,Hirochika,Narlikar,1986-08-06,1955-12-19
10653,Otmar,Feinberg,1987-04-30,1953-06-16
10671,Parviz,Rebaine,1987-01-08,1953-06-12
10672,Bluma,Zeilberger,1986-07-13,1954-03-23
10676,Valeri,Danley,1986-03-20,1953-08-26
10693,Berhard,Daescu,1986-01-08,1953-12-14
10694,Rildo,Straney,1988-01-26,1955-12-16
10702,Bader,Szemeredi,1985-07-23,1952-11-25
10718,Adib,Rullman,1988-07-21,1955-12-19
10726,Zita,Minakawa,1985-09-01,1954-01-11
10731,Fumitaka,Peak,1987-02-20,1952-11-17
10734,Sachar,Erdi,1985-04-03,1954-07-06
10745,Poorav,Ranze,1987-05-26,1953-10-23
10749,King,Brendel,1985-09-26,1955-08-21
10751,Jordanka,Ushiama,1987-04-15,1952-12-02
10767,Monique,Doering,1987-06-17,1954-02-28
10768,Ishfaq,Candan,1985-07-04,1955-06-24
10777,Mizuhito,Kemmerer,1988-07-05,1955-08-11
10778,Selwyn,Merey,1986-07-04,1953-03-13
10791,Tadahiko,Sgarro,1988-07-30,1954-05-27
10795,Supot,Naudin,1985-05-21,1954-12-14
10803,Katsuyuki,Velasco,1988-04-20,1952-09-15
10808,Chenxi,Leijenhorst,1987-03-07,1955-09-11
10835,Tomoyuki,Kermarrec,1985-07-28,1952-11-23
10836,Jianhua,Leivant,1985-07-26,1953-07-15
10844,Dipayan,Koprowski,1987-03-03,1954-02-03
10847,Theirry,Danley,1986-07-25,1952-03-04
10848,Fen,Bratsberg,1985-04-20,1954-07-16
10867,Billur,Gyorkos,1986-10-08,1952-10-01
10878,Lakshmi,Deville,1988-02-25,1952-06-13
10879,Muzhong,Chleq,1985-08-15,1953-08-18
10883,Shimshon,Champarnaud,1987-11-07,1952-07-30
10895,Vishwani,Petersohn,1986-04-26,1952-03-21
10909,Georgi,Atchley,1985-04-21,1954-11-11
10912,Oscal,Fasbender,1986-04-23,1952-07-27
10918,Susumu,Reghbati,1985-12-13,1954-12-26
10921,Mara,Bahi,1986-07-27,1955-07-20
10924,Hironoby,Atchley,1988-08-14,1954-04-27
10927,Gal,Scallan,1985-10-26,1953-03-13
10936,Mountaz,Schicker,1987-10-27,1953-04-08
10943,Berna,Skafidas,1988-02-19,1955-11-19
10965,Eckart,Braunschweig,1986-07-29,1955-07-10
10969,Premal,Noriega,1988-08-22,1954-09-05
10974,Muneo,Papsdorf,1985-11-25,1952-03-07
10986,Masako,Schiper,1985-10-11,1954-08-11
10988,Chinya,Deyuan,1985-06-19,1955-06-24
10989,Sumali,Candan,1985-07-20,1954-09-08
10990,Shin,Foote,1988-07-06,1954-10-22
11009,Alper,Axelband,1986-09-09,1954-08-30
11012,Taegyun,Speckmann,1986-12-28,1953-09-12
11019,Leon,Huttel,1985-02-04,1954-09-06
11021,Srinidhi,Henders,1985-05-24,1954-07-13
11027,Remzi,Cappello,1986-05-07,1955-12-13
11028,Miyeon,Krider,1986-06-18,1952-02-23
11031,Ottavia,Walstra,1985-04-26,1954-12-20
11037,Lansing,Maliniak,1988-01-28,1952-05-22
11038,Jinya,Beidas,1985-07-15,1955-10-13
11042,Gou,Breugel,1988-06-26,1955-07-13
11048,Jaques,Demke,1985-02-26,1952-10-26
11050,Elvis,Katiyar,1986-05-06,1952-09-23
11051,Przemyslawa,Erol,1985-08-09,1952-10-06
11070,Adib,Raney,1985-07-24,1952-06-30
11081,Barry,Boyle,1985-06-17,1952-06-20
11085,Hailing,Thummel,1986-11-27,1953-09-08
11100,Berna,Cochrane,1986-10-13,1955-10-14
11106,Aris,Iwayama,1985-08-31,1955-02-23
11110,Valeska,Birjandi,1987-11-14,1955-12-11
11112,Boaz,Mukaidono,1987-08-20,1954-08-05
11113,Shahab,Peng,1985-11-30,1953-04-28
11121,Vugranam,Kakkad,1987-02-21,1953-02-13
11133,Nalini,Azulay,1988-02-04,1955-12-13
11134,Sachar,Rajcani,1988-05-26,1954-05-15
11137,Hugh,Luca,1986-07-31,1955-03-17
11139,Bogdan,Homond,1985-12-24,1955-10-13
11146,Ishfaq,Masand,1988-03-21,1954-06-25
11148,Zhanqiu,Botman,1985-07-06,1953-01-23
11162,Kauko,Narlikar,1985-03-28,1953-03-25
11180,Mitsuyuki,Bojadziev,1986-06-11,1952-11-07
11197,Tadahiro,Fordan,1986-04-13,1955-05-11
11203,Sakthirel,Yetto,1988-01-06,1952-06-24
11204,Diederik,Covnot,1985-09-18,1955-12-15
11207,Saeed,Gips,1987-11-09,1955-08-14
11208,Saniya,Valtorta,1988-08-26,1952-05-29
11211,Yurij,Rissland,1985-09-17,1952-12-11
11217,Kellie,Mawatari,1987-09-22,1954-07-01
11232,Hidefumi,Crelier,1988-02-02,1955-09-03
11240,Kiam,Condotta,1988-11-11,1955-08-12
11249,Randi,Cyre,1985-08-29,1954-10-01
11251,Bezalel,Chinal,1985-11-26,1955-10-16
11268,Aimee,Petersohn,1985-05-17,1954-05-14
11275,Hitomi,Eppinger,1987-05-26,1955-10-18
11290,Visit,Dredge,1985-09-08,1953-05-07
11291,Gino,Glowinski,1985-10-20,1953-11-01
11295,Abdelkader,Lanzelotte,1985-05-15,1953-02-03
11319,Pranas,Marrakchi,1986-10-03,1955-06-05
11320,Atilio,McAlpine,1987-11-24,1954-04-13
11322,Nathalie,Pocchiola,1985-02-08,1952-07-19
11324,Kauko,Billingsley,1985-08-29,1953-11-16
11338,Kwangsub,Hanratty,1987-04-14,1954-11-03
11339,Flemming,Massonet,1987-05-09,1954-06-05
11347,Anneli,Jonsson,1986-04-20,1954-12-27
11365,Toshimi,Shinomoto,1988-04-02,1953-11-17
11376,Valery,Suomi,1986-03-14,1952-03-10
11380,Kenroku,Pelc,1988-03-03,1952-04-23
11385,Shiv,Ullian,1988-05-22,1952-03-04
11386,Alselm,Assaf,1987-11-30,1954-09-27
11393,Junsik,Junot,1985-04-30,1954-05-17
11398,Oscar,Peir,1986-08-23,1953-05-30
11404,Bedrich,Borovoy,1987-03-06,1954-09-15
11415,Sanjiv,Anido,1987-03-03,1953-10-29
11421,Josyula,Msuda,1986-09-02,1953-11-07
11431,Youngkon,Picht,1985-09-16,1954-08-05
11441,Marlo,Aingworth,1987-03-27,1954-11-16
11449,Kotesh,Asser,1986-08-27,1955-03-30
11459,Duke,Suomi,1986-05-03,1953-10-14
11461,Kish,Cronau,1986-08-19,1955-04-18
11469,Guttorm,Giaccio,1988-05-23,1952-12-01
11477,Fox,Narahari,1985-09-10,1955-05-15
11501,Karsten,Ranum,1988-12-14,1952-03-26
11506,Rance,Picel,1986-07-01,1955-06-16
11509,Aleksander,Feldhoffer,1987-11-12,1954-06-18
11513,Otmar,Mahnke,1986-03-27,1954-07-16
11515,Ulf,Basawa,1986-02-27,1955-03-03
11518,Jinxi,Oxman,1985-07-03,1953-07-21
11524,Xiadong,Standera,1988-09-20,1955-10-26
11527,Alagu,Boyle,1988-07-03,1952-02-06
11528,Zito,Dolinsky,1987-06-15,1955-04-26
11537,DAIDA,Pehl,1986-07-06,1955-06-29
11554,Subhash,Taubenfeld,1988-10-17,1955-05-28
11555,Kotesh,Perfilyeva,1986-10-14,1955-08-05
11562,Rimli,Alencar,1988-06-30,1953-06-22
11567,Teiji,Mitzlaff,1988-02-03,1954-07-06
11568,Martins,Fujisaki,1987-07-28,1955-12-01
11578,Edwin,Rosti,1985-11-22,1953-12-22
11588,Kaijung,Panangaden,1986-10-13,1952-07-20
11603,Herb,Swen,1985-04-13,1954-12-07
11607,Tomokazu,Foong,1987-09-12,1953-12-03
11615,Shem,Isaak,1988-09-13,1955-03-05
11624,Adil,Gammage,1988-04-05,1955-05-16
11628,Fan,Malinowski,1988-10-23,1952-02-14
11640,Valeri,Coorg,1987-01-18,1953-10-06
11647,Magy,Nitsche,1988-05-11,1953-10-13
11660,Gill,Stenning,1986-11-22,1955-07-19
11673,Henk,Felder,1988-10-13,1954-12-20
11676,Valeri,Ferriere,1985-03-16,1952-04-12
11681,Fumitake,Benzmuller,1987-01-21,1952-05-15
11684,Oksana,Gide,1986-02-21,1953-03-07
11696,Dante,Rothe,1985-10-23,1954-10-26
11705,Arve,Hofmeyr,1985-10-30,1954-11-26
11732,Sanjoy,Ranft,1985-08-11,1955-06-14
11735,Amalendu,Picci,1988-07-14,1955-02-19
11738,Tadahiro,Lichtman,1986-06-19,1954-12-13
11746,Koichi,Marrakchi,1988-11-17,1952-05-22
11747,Aksel,Kossowski,1986-02-20,1953-11-27
11751,Jiafu,Emiris,1988-11-03,1953-02-02
11764,Sanjay,Anick,1988-04-25,1953-04-22
11769,Chandrasekaran,Lampe,1988-02-15,1953-07-17
11772,Gaurav,Penz,1987-12-04,1954-06-19
11797,Chenxi,Thambidurai,1988-08-30,1954-08-12
11805,Rosine,Grandbois,1985-09-01,1953-06-05
11810,Amabile,Bhattacharjee,1987-03-17,1952-12-08
11813,Gita,Muhlberg,1987-03-16,1952-04-27
11817,Niranjan,Markovitch,1986-04-12,1955-05-25
11832,Arto,Zlotek,1986-10-16,1952-05-18
11838,Taiji,Nitta,1985-09-29,1955-04-13
11844,Shawna,Demeyer,1988-01-27,1953-10-30
11853,Zeljko,Kusakabe,1988-11-17,1952-06-19
11857,Divier,Farrag,1986-08-27,1955-12-03
11864,Pradeep,Kriebel,1985-11-12,1952-06-14
11871,Nalini,Sommen,1988-01-23,1953-05-02
11872,Cheong,Riexinger,1987-12-06,1953-01-17
11883,Nectarios,Bhattacharjee,1988-04-16,1952-05-27
11894,Mitchel,Validov,1988-06-22,1954-12-23
11897,Cordelia,Setlzner,1987-12-27,1952-11-23
11906,Hideo,Boguraev,1987-03-30,1955-04-26
11915,Miomir,Mawatari,1987-08-29,1954-08-16
11931,Gunilla,Chiodo,1988-10-03,1952-10-30
11933,Basil,Erman,1987-06-13,1953-08-15
11949,Martijn,Harbusch,1985-03-11,1953-01-27
11983,Jaana,Hedayat,1986-10-11,1953-01-04
11987,Vidya,Schaar,1988-10-17,1954-12-29
11988,Chinya,Chinin,1985-11-03,1953-08-10
11993,Marit,Dalphin,1986-06-25,1955-10-29
12011,Zhilian,Coorg,1988-07-22,1953-12-16
12025,Jaewoo,Heiserman,1985-02-28,1953-05-04
12033,Visit,Serot,1987-08-20,1955-05-06
12036,Mads,Ratzlaff,1986-09-05,1953-03-02
12037,Arunas,Katzenelson,1986-10-01,1954-01-11
12050,Yuchang,Tchuente,1988-10-10,1953-06-08
12052,Masako,Khasidashvili,1986-04-07,1953-11-13
12062,Margareta,Worfolk,1985-02-03,1954-01-20
12069,Ayonca,Burnard,1985-05-13,1953-12-27
12070,Ger,Shokrollahi,1988-11-14,1955-07-23
12076,Karlis,Siprelle,1985-03-25,1955-03-16
12082,Xinan,Yamaashi,1986-01-29,1953-09-20
12087,Weijing,Jumpertz,1986-08-16,1953-05-09
12089,Bilhanan,Socorro,1986-10-22,1954-06-21
12099,Nobuyoshi,Kuzuoka,1987-08-23,1953-01-12
12103,Becky,Erie,1988-02-25,1955-02-03
12112,Satyanarayana,Avouris,1986-05-24,1953-07-01
12122,Satoru,Krone,1987-07-24,1954-06-27
12123,Xiahua,Syrzycki,1987-07-18,1954-07-08
12125,Shounak,Erman,1987-05-01,1953-04-16
12128,Yannik,Barreiro,1986-01-29,1953-09-13
12149,Suebskul,Grandbois,1988-10-01,1954-10-25
12159,Shem,Perly,1985-07-17,1955-08-15
12165,Xiaobin,Maquelin,1985-04-27,1952-11-19
12173,Adel,Nanard,1986-06-24,1955-02-03
12183,Harngdar,Iisaku,1987-09-19,1954-06-29
12192,Feiyu,Klyachko,1985-03-16,1954-11-06
12205,Sushant,Rossi,1986-04-14,1955-08-24
12206,Barton,Janetzko,1985-03-27,1954-11-21
12218,Yaghout,Strooper,1985-02-18,1954-08-01
12221,Vincent,Melter,1985-09-16,1955-07-14
12222,Abdelwaheb,Holburn,1986-09-01,1953-03-04
12223,Niteen,Koyama,1986-08-13,1954-07-27
12247,Subbu,Penttonen,1985-04-09,1952-03-26
12249,Eldridge,Sadowski,1987-02-28,1952-09-20
12254,Chaitali,Stafford,1988-12-23,1953-04-04
12256,Guadalupe,Reghbati,1985-08-26,1955-02-15
12264,Mart,Pagter,1987-07-24,1953-12-30
12270,Shakhar,Kornyak,1988-01-04,1953-08-10
12272,Behnaam,Grandbois,1987-12-08,1955-10-16
12274,Garnik,Papadias,1988-04-01,1955-02-01
12276,Yongmin,Lenart,1986-08-12,1955-05-03
12303,Godehard,Braccini,1988-06-13,1952-08-20
12308,Mototsugu,Cronau,1985-08-11,1952-02-17
12311,Susanne,Lubachevsky,1985-10-22,1955-02-11
12312,Chenye,Velasco,1988-11-24,1954-04-06
12327,DAIDA,Bruckman,1986-10-16,1952-05-21
12335,Arnould,Genin,1988-04-26,1952-11-25
12341,Rasiah,Luga,1985-05-25,1955-02-13
12343,Sorina,Slaats,1988-08-25,1952-10-18
12365,Kamakshi,Bisiani,1985-04-07,1954-01-21
12373,Mooi,Driscoll,1985-03-22,1953-04-26
12395,Sanjit,Felder,1988-02-04,1955-01-08
12399,Mihalis,Luga,1987-12-07,1955-11-15
12411,Shao,Ibel,1986-08-17,1952-05-31
12413,Hugh,Gadepally,1988-05-04,1955-06-17
12415,Uri,Sluis,1986-10-25,1952-06-05
12417,Dannz,Spelt,1988-07-05,1955-11-18
12422,Berhard,Demos,1985-07-20,1954-12-04
12451,Pramod,Marzano,1986-11-26,1955-04-25
12454,Kerryn,Farris,1986-09-10,1954-08-21
12464,Shai,Milicic,1986-08-18,1955-09-08
12475,Filipe,Roison,1987-04-26,1953-03-30
12478,Yahiko,Hopewell,1987-11-22,1954-10-23
12487,Mona,Reghbati,1987-10-04,1954-04-24
12489,Arnould,Munck,1986-04-11,1955-01-23
12490,Jackson,Muchinsky,1988-05-16,1955-08-08
12493,Filipp,Menhardt,1988-03-30,1953-07-16
12497,Stein,Penz,1985-04-05,1953-08-26
12501,Morrie,Matheson,1986-06-05,1954-11-22
12504,Adly,Rosaz,1987-04-17,1953-01-04
12514,Tomofumi,Melter,1985-12-03,1952-11-14
12528,Conor,Cincotta,1988-09-24,1952-11-20
12534,Yongmao,Gerlach,1985-08-14,1953-01-31
12541,Shih,Nanard,1988-08-31,1952-04-22
12542,Kazuhide,Bouloucos,1987-09-12,1954-07-26
12551,Jeane,Tzvieli,1987-12-04,1954-03-15
12553,Aral,Vesna,1987-02-28,1954-05-08
12557,Stafford,Kopetz,1988-03-20,1954-01-01
12589,Anoosh,Chleq,1988-09-08,1952-11-23
12596,Breannda,Roisin,1986-04-25,1955-10-10
12601,Ghassan,Simkin,1988-12-17,1955-08-16
12608,Nectarios,Mondadori,1985-06-23,1955-10-27
12635,Xinyu,Restivo,1985-11-27,1952-11-09
12637,Poorav,Karner,1987-04-08,1955-06-03
12638,Yuqun,Seiwald,1986-07-01,1954-11-09
12642,Suebskul,Gips,1987-05-24,1955-09-27
12651,Pragnesh,Bael,1988-01-27,1952-07-24
12662,Leucio,Alvarado,1985-08-27,1952-08-02
12663,Nobuyoshi,Stellhorn,1986-09-29,1954-10-31
12664,Zhonghua,Parveen,1987-08-19,1952-05-01
12678,Carrsten,Borovoy,1987-06-03,1952-12-07
12689,Luerbio,Boudaillier,1987-04-12,1953-01-19
12691,Oddvar,Gils,1987-11-21,1952-10-17
12694,Kazuhira,Luders,1988-07-29,1954-12-19
12697,Uri,Brizzi,1986-07-11,1955-06-25
12709,Ronghao,Botman,1985-12-02,1955-08-09
12717,Tzu,Jiafu,1988-05-16,1953-04-17
12722,Elliott,Cheshire,1985-03-29,1955-09-23
12726,Fumitake,Panwar,1988-09-04,1954-03-27
12729,Nahla,Rahier,1987-08-25,1954-05-18
12730,Barry,Perl,1987-12-18,1953-07-01
12731,Yongmao,Waymire,1988-04-05,1953-05-09
12732,Mara,Takanami,1988-04-06,1952-09-27
12734,Gil,Frijda,1986-03-03,1952-03-05
12755,Rildo,Rodite,1987-03-18,1955-02-20
12759,LiMin,Kuszyk,1987-05-31,1953-05-05
12773,Jenwei,Lovengreen,1985-03-05,1952-06-26
12775,Mariangiola,Berendt,1986-02-06,1952-10-21
12790,Gunilla,Perl,1986-04-22,1953-02-05
12795,Masoud,Fordan,1986-10-11,1952-05-06
12798,Lillian,Beeson,1987-12-27,1952-05-18
12803,Gad,Boissier,1985-03-16,1952-05-12
12815,Sushant,Junot,1985-02-27,1955-03-25
12816,Freyja,Ramras,1985-04-18,1952-10-15
12819,Mountaz,Gubsky,1986-11-30,1953-07-30
12846,Krisda,Cyne,1988-07-16,1954-10-24
12848,Kazuhide,Smeets,1987-06-14,1953-01-17
12853,Mang,Brobst,1987-01-05,1953-10-06
12863,Leif,Matheson,1985-09-06,1954-08-02
12872,Marl,Schmittgen,1986-09-09,1953-02-18
12876,Apostol,Goodrum,1985-09-13,1953-12-05
12879,Baruch,Eugenio,1986-05-14,1955-09-07
12888,Martien,Erni,1986-05-07,1955-11-05
12890,Neven,Casley,1985-10-31,1955-10-05
12893,Licheng,Crouzet,1987-03-18,1954-10-09
12895,Roddy,Serot,1988-05-25,1952-04-28
12905,Munehiro,Gecsei,1987-07-19,1955-01-24
12922,Jacqueline,Porenta,1985-11-20,1955-09-01
12926,Heekeun,Luby,1985-12-24,1952-04-24
12937,Arup,Cincotta,1986-01-26,1953-03-17
12940,Odinaldo,Farrar,1987-12-12,1953-10-25
12941,Tommaso,Perelgut,1986-11-06,1954-07-29
12949,Geoff,Asrin,1987-02-12,1955-02-24
12951,Mohammad,Keirsey,1987-08-19,1954-06-15
12972,Juyoung,Azevdeo,1985-02-14,1952-10-16
12974,Gift,Frolund,1986-10-24,1953-08-13
12977,Byong,Markovitch,1987-08-24,1954-11-29
12983,Elliott,Hambrick,1985-12-01,1954-04-07
13012,Florina,Harbusch,1987-12-24,1952-02-12
13030,Yahiko,Kroll,1987-07-02,1955-02-12
13046,Vivian,Stafford,1987-04-19,1953-03-09
13047,Atilio,Chelton,1987-01-04,1953-04-24
13049,Fan,Naudin,1985-10-06,1955-08-28
13062,Xinglin,Baak,1986-11-25,1953-11-10
13075,Rosella,Morrin,1986-08-17,1955-05-24
13076,Deniz,Skafidas,1988-06-14,1954-03-09
13096,Ibibia,Armand,1988-10-25,1953-01-03
13103,Srinidhi,Ellozy,1988-06-19,1952-05-09
13113,Kwun,Landherr,1987-08-25,1953-08-05
13124,Quingbo,Garnick,1985-03-17,1955-11-06
13133,Guther,Senzako,1985-09-03,1955-06-21
13134,Lorien,Chepyzhov,1987-08-29,1955-06-25
13144,Persi,Nollmann,1987-10-16,1952-07-11
13146,Haldon,Erie,1985-05-25,1953-11-01
13147,Shichao,Ginesta,1985-12-16,1955-12-28
13156,Akeel,Millington,1986-12-29,1952-04-19
13165,Lucian,Benner,1988-03-16,1954-09-09
13168,Munir,Stentiford,1987-09-11,1954-06-10
13170,Cheong,Bernardeschi,1986-05-07,1955-10-25
13171,Anoosh,Birnbaum,1987-08-31,1954-12-29
13173,Arve,Horswill,1987-09-24,1953-04-20
13179,Moty,Janocha,1987-04-16,1955-09-09
13182,Kokou,Rodite,1985-08-27,1954-02-25
13186,Kyoichi,Barbanera,1986-04-29,1955-06-19
13192,Rosita,Flowers,1988-11-10,1953-01-28
13202,Aram,Scharstein,1986-03-29,1953-05-10
13210,Jianhua,Klassen,1986-09-19,1953-06-19
13213,Hein,Billawala,1988-02-03,1954-12-29
13221,Premsyl,Famili,1987-02-27,1955-05-17
13232,Mitchel,Fujisaki,1986-06-02,1955-01-29
13233,Alselm,Chvatal,1987-03-31,1954-08-11
13238,Ebru,Foote,1985-10-30,1953-02-23
13240,King,Pileggi,1987-12-20,1955-02-14
13243,Fay,Huxford,1986-12-17,1953-12-23
13250,Zeydy,Schusler,1985-11-19,1954-02-20
13272,Arun,Jiang,1985-03-10,1953-10-11
13276,Yechiam,Seuren,1986-03-09,1955-05-07
13288,Muneo,Broomell,1987-04-14,1952-08-24
13291,Georg,Stamatiou,1986-10-30,1952-04-29
13299,Guiseppe,Butner,1986-07-17,1953-12-07
13302,Mack,Alencar,1987-04-19,1954-06-21
13305,Bikash,Herath,1985-07-17,1952-04-25
13315,Sakthirel,Stroustrup,1988-05-08,1955-09-08
13332,Nidapan,Pearson,1987-09-24,1954-12-02
13333,Yoshinari,Hennebert,1988-03-23,1953-07-17
13341,Bodh,Doering,1986-03-11,1953-06-02
13343,Heon,Usery,1988-07-29,1952-04-06
13368,Kiyokazu,Klassen,1988-04-24,1953-12-29
13371,Nakhoon,Riexinger,1986-07-29,1954-01-23
13373,Juichirou,Naumovich,1987-06-13,1954-09-08
13385,Claudi,Buchter,1986-06-10,1954-11-15
13386,Khosrow,Sgarro,1986-02-23,1952-04-27
13389,Divine,Cmelik,1988-03-23,1954-04-26
13392,Fumitake,Beidas,1988-08-26,1953-04-05
13396,Chuanyi,Aumann,1987-09-22,1952-05-19
13402,Augustine,Dulli,1985-09-15,1955-05-15
13405,Randy,Baba,1986-09-18,1954-01-19
13407,Gio,Chenoweth,1987-10-30,1954-01-09
13408,Sreekrishna,Lagarias,1986-04-26,1954-12-27
13415,Nathalie,Speer,1986-01-01,1955-06-23
13422,Vishwani,Gerlach,1988-01-17,1952-08-20
13442,Giordano,Miake,1987-06-16,1953-03-14
13443,Mayuko,Puppo,1985-03-06,1954-07-22
13445,Renee,Dehkordi,1986-04-14,1954-12-22
13451,Gretta,Weiland,1986-08-23,1952-03-21
13457,Shooichi,Parfitt,1986-01-18,1955-06-27
13458,Feipei,Nivat,1985-12-12,1954-12-21
13463,Theron,Berstel,1988-01-26,1954-08-29
13465,Sasan,Rehfuss,1985-07-08,1953-11-01
13493,Uinam,Jullig,1987-09-07,1954-09-08
13504,Parto,Mandell,1986-12-21,1954-01-09
13521,Jaewoo,Tasistro,1988-12-16,1955-07-28
13524,Chaoyi,Porotnikoff,1985-07-27,1955-11-06
13535,Arunas,Schlenzig,1986-05-19,1954-12-25
13546,Aimee,Brookner,1988-10-26,1955-02-22
13549,Matk,Koprowski,1988-05-12,1952-05-02
13552,Ingmar,Capobianchi,1985-03-23,1955-03-23
13560,Sibyl,Jeong,1986-07-28,1952-04-15
13576,Jungsoon,Engberts,1986-08-22,1954-08-05
13578,Tadahiko,Christianini,1987-11-17,1953-09-26
13605,Dmitry,Encarnacion,1985-09-29,1953-08-02
13621,Fei,Haddadi,1986-08-24,1954-02-28
13624,Zhigen,Yurek,1987-05-12,1952-12-15
13629,Dzung,Trelles,1987-01-03,1954-09-13
13648,Zejun,Lamba,1985-11-16,1954-03-28
13651,Stamatina,Plesums,1987-09-02,1955-10-09
13653,Kristen,Iivonen,1985-07-11,1955-01-01
13670,Moti,Takanami,1987-04-16,1953-05-06
13680,Denny,Speer,1985-03-18,1953-08-08
13684,Elvia,Christ,1985-02-06,1955-05-03
13685,Weicheng,Hockney,1988-03-08,1954-05-02
13697,Shuichi,Weedon,1985-06-20,1953-04-07
13698,Domenico,Mitchem,1985-06-02,1954-01-11
13704,Vishu,Kumaresan,1986-05-03,1955-05-26
13721,Sugwoo,Delgrossi,1985-08-25,1952-07-01
13727,Vitali,Merey,1985-09-21,1952-08-13
